Address,Affiliated upto,Affiliation No.,Email,Head,Name,Phone No.,State,Status
"CHANDRAPURA THERMAL POWER STATION CHANDRAPURA P O CHANDRAPURA BOKARO DISTT JHARKHAND ,825303",31/03/2018,3400010,kvchandrapura@yahoo.co.in,Anjani Asha Salkar,KENDRIYA VIDYALAYA,"6549 ,242259",JHARKHAND,Senior Secondary
"GUMLA, AT-TRAINING SCHOOL CAMPUS, KARAMTOLI, PO GUMLA, DISTT. GUMLA, JHARKHAND ,835207",31/03/2022,3400036,nvtoppo@gmail.com,NILIMA V TOPPO,KENDRIYA VIDYALAYA,"6524 ,221042",JHARKHAND,Senior Secondary
"SECTOR 2 HEAVY ENGG CORPN JAGANNATH NAGAR RANCHI JHARKHAND ,834004",31/03/2014,3400003,purtysilas@gmail.com,SILAS PURTY,KENDRIYA VIDYALAYA NO 1,"0651 ,2443548",JHARKHAND,Senior Secondary
"SECTOR 4 BOKARO STEEL CITY BOKARO JHARKHAND ,827004",31/03/2018,3400001,odilminz@gmail.com,ODIL SUSHILA MINZ,KENDRIYA VIDYALAYA NO 1,"0654 ,2231207",JHARKHAND,Senior Secondary
"H E C P O DHURWA RANCHI JHARKHAND ,834004",31/03/1999,3400004,,SHYAM KRISHNA SAXENA,KENDRIYA VIDYALAYA NO 2,",408906",JHARKHAND,Secondary School
"RAILWAY COLONY BOKARO STEEL CITY JHARKHAND ,827010",31/03/2020,3400021,mmardi17@gmail.com,MAISA MARDI,KENDRIYA VIDYALAYA NO 3,"6542 ,253694",JHARKHAND,Senior Secondary
"BEHIND POLICE STATION, JAGJIWAN NAGAR DHANBAD, JHARKHAND ,826003",31/03/2019,3400028,sansin_phy@hotmail.com,SANJIB SINHA,KENDRIYA VIDYALAYA NO.2,"0326 ,2210705",JHARKHAND,Secondary School
"Mahatisai Jagannathpur West Singhbhum, Jharkhand ,833203",31/03/2018,3430313,principal.kemsjnp@yahoo.com,RANJAN KUMAR SAHU,Kerala English Medium School,"091 ,9835361360",JHARKHAND,Secondary School
"BURMAMINES JAMSHEDPUR JHARKHAND ,831007",31/03/2019,3430201,hkaur1109@gmail.com,Harwinder Kaur,KERALA PUBLIC SCHOOL,"0657 ,2345629",JHARKHAND,Secondary School
"SINDRI ROAD PO JHARIA DISTT DHANBAD JHARKHAND ,828111",31/03/2021,3430203,kidsgarden05@yahoo.in,SHOBHA SINHA,KIDS GARDEN SECONDARY SCHOOL,"0326 ,2460792",JHARKHAND,Senior Secondary
"koldiha,giridih ,815301",31/03/2019,3430334,suryaprakashpkps@gmail.com,SURYA PRAKASH,kiran public school,"6532 ,250077",JHARKHAND,Secondary School
"Vill- Laudia, P.O. Chakradharpur ,833102",31/03/2020,3430251,PRINCIPAL@KONCEPT.CO.IN,SUPARNA SAHA,KONCEPT PUBLIC SCHOOL,"0000 ,7761988324",JHARKHAND,Senior Secondary
"KHAS MAHAL CCL PO SUNDAY BAZAR BERMO DISTT BOKARO JHARKHAND ,829127",31/03/2023,3430180,singhmamta389@gmail.com,MAMTA SINGH,KRISHNA SUDERSHAN CENTRAL SCHOOL,"6549 ,260260",JHARKHAND,Senior Secondary
"GHAT ROAD, SAMLONG, RANCHI ,834010",31/03/2020,3430221,la.gardenschool@gmail.com,T K Gupta,l a garden high school,"0651 ,6452109",JHARKHAND,Senior Secondary
"AT-BENGABAD P.O-BENGABAD DIST-GIRIDIH PIN -815312 ,815312",31/03/2022,3430305,lnppublicschoolgrd@gmail.com,NIRANJANA PRIYADARSHANI,L.N.P PUBLIC SCHOOL,"0 ,7903128525",JHARKHAND,Secondary School
"VILLAGE TINDIR RATU ROAD KANKE BLOCK RANCHI, JHARKHAND-824001 ,834001",31/03/2019,3430157,kamalkantdas1960@gmail.com,KAMAL KANT DAS,LADY K C ROY MEMORIAL SCHOOL,"0651 ,6453409",JHARKHAND,Senior Secondary
"LAJPAT BHAWAN NEAR RAILWAY CROSSING KADRU ROAD RANCHI JHARKHAND ,834001",31/03/2020,3430007,pkt7161@gmail.com,P K THAKUR,LALA LAJPAT RAI BAL MANDIR,"0651 ,2331436",JHARKHAND,Senior Secondary
"RAGHUNATHPURAM, PETARWAR ,829121",31/03/2022,3430298,contact@leelajankipublicschool.com,SWARN LATA,LEELA JANKI PUBLIC SCHOOL,"6549 ,265055",JHARKHAND,Secondary School
"P O SINDRI DHANBAD DISTT JHARKHAND ,828122",31/03/2018,3430038,lpssindri8025@gmail.com,RAMESH SHARMA,LIONS PUBLIC SCHOOL,"0326 ,245343",JHARKHAND,Senior Secondary
"At. Amrit Nagar, PO.Korrah, Dist. Hazaribagh,State - Jharkhand ,825301",31/03/2020,3430350,lordkrishnaschoolhzb.@gmail.com,NISHANT PRAVEER,Lord Krishna School,"6546 ,292649",JHARKHAND,Secondary School
"BOOTY RANCHI JHARKHAND ,834009",31/03/2017,3430198,loyola.sr.sec.school@gmail.com,PARAMITA SAHA,LOYOLA CONVENT SCHOOL,"0651 ,2273020",JHARKHAND,Senior Secondary
"I.E. GOMIA-PO, BOKARO-DT ,829112",31/03/2019,3430339,loyolapacyla@gmail.com,MissGLIGY SEBASTIAN,"LOYOLA ENGLISH MEDIUM SCHOOL, GOMIA",",06544261125",JHARKHAND,Secondary School
"CHIANKI DALTONGANJ JHARKHAND ,822133",31/03/2022,3430109,plmkdav@gmail.com,VINAY KUMAR PANDEY,M K DAV PUBLIC SCHOOL,"6562 ,7360000524",JHARKHAND,Senior Secondary
"vill.-asantalia, p.o.- chakradharpur ,833102",31/03/2020,3430268,knagarajuprincipal@gmail.com,KNAGARAJU,madhusudan public school,"91 ,9955475737",JHARKHAND,Secondary School
"LOHARDIH,KOLAKUSMA(HIRAK ROAD ,P.O-K.G.ASHRAM,DHANBAD-828109(JHARKHAND) ,828109",31/03/2021,3430281,maharshimehi@gmail.com,SHYAM NARAYAN SINGH,MAHARSHI MEHI VIDYAPEETH,"0326 ,6001929",JHARKHAND,Secondary School
"SHISHU VIDYA MANDIR MADHUPUR COLLEGE ROAD MADHUPUR DISTT. DEOGHAR JHARKHAND ,815353",31/03/2022,3430136,vishwakarma.ssvm@gmail.com,GOPAL MISTRY VISHWAKARMA,MAHENDRA MUNI SARASWATI,"6438 ,224085",JHARKHAND,Senior Secondary
"Dumardaga, H.B.Road, Booti, Ranchi ,835217",31/03/2020,3430236,JAYALEKSHMIMANAN@GMAIL.COM,JAYALEKSHMI S,MANAN VIDYA,"0651 ,2273601",JHARKHAND,Senior Secondary
"AT+PO-DOMCHANCH, KODERMA ,825418",31/03/2019,3430340,msacad800@gmail.com,SUDHA KUMARI,MANJULA SHARMA MEMORIAL ACADEMY,"0 ,8986658958",JHARKHAND,Secondary School
"Balwagarh, Rajdhanwar ,825412",31/03/2020,3430349,atamshantideb@gmail.com,DEBASHISH KAR,Manthan Valley St. Alberts School,"91 ,9431531828",JHARKHAND,Secondary School
"JAMUNE PANKI ROAD, DALDTONGANJ ,822101",31/03/2020,3430215,principaldal2004@gmail.com,MADHU SUDAN MANDAL,MATA DRAUPADI NAMDHARI GOBIND SINGH PUBLIC SCHOOL,"6562 ,290405",JHARKHAND,Senior Secondary
"DAYANAND ROAD KARAMTOLI LOHARDAGA JHARKHAND ,835302",31/03/2020,3430133,mbdav411@yahoo.com,KRISHAN AVTAR,MB DAV PUBLIC SCHOOL,"6526 ,73660324",JHARKHAND,Senior Secondary
"GUMO, WARD NO.1, JHUMRI TELAIYA ,825409",31/03/2018,3430315,principalmeridian.jmt@gmail.com,NAVIN KUMAR,MERIDIAN ACADEMY,"6534 ,227179",JHARKHAND,Secondary School
"SECTOR IV F BOKARO STEEL CITY JHARKHAND ,827004",31/03/2020,3430093,rcv68@rediffmail.com,Fr Reji C Varghese,MGM HIGHER SECONDARY SCHOOL,"6542 ,269783",JHARKHAND,Senior Secondary
"NANDAN PAHAR B.DEOGHAR ,814112",31/03/2019,3430332,sudhapandey997@gmail.com,SUDHA PANDEY,MISHRAS RESIDENTIAL PUBLIC SCHOOL,"6432 ,9471749942",JHARKHAND,Secondary School
"Sector 4E, B.S.City, Bokaro Distt., Jharkhand ,827004",31/03/2020,3430263,sreelalall2016@gmail.com,SREELA LALL,Mithila Academy Public School,"6542 ,7033859521",JHARKHAND,Senior Secondary
"P O SINDRI F C I SINDRI DHANBAD DISTT JHARKHAND ,828122",31/03/2003,3430011,dnp@fcis.bih.nic.in,S B SRIVASTAVA,MODEL ENGLISH HIGH SCHOOL,"0629 ,4314",JHARKHAND,Senior Secondary
"SARSA, DEOGHAR ,814142",31/03/2020,3430356,mps.deoghar2012@gmail.com,ASHA SINHA,MODERN PUBLIC SCHOOL,"6432 ,292926",JHARKHAND,Secondary School
"CASTER'S TOWN B DEOGHAR DISTT DEOGHAR JHARKHAND ,814112",31/03/2008,3430118,sagar2007@yahoo.co.in,Mr. MRS. KRISHNA DUTTA,MODERN PUBLIC SCHOOL,"06432 ,222924",JHARKHAND,Secondary School
"JHUMRI TELAIYA DISTT KODERMA JHARKHAND ,825409",31/03/2023,3430176,prasenjithazra@rediffmail.com,PRASENJIT HAZRA,MODERN PUBLIC SCHOOL,"6534 ,222558",JHARKHAND,Secondary School
"DAYABANS PAHAR , NH-2 NEAR GANGA HOTEL , TOPCHANCHI - 828112 ,828112",31/03/2020,3430365,montfortacademy@hotmail.com,Mr.SUNAHALI SHAH,MONTFORT ACADEMY,",9006880279",JHARKHAND,Secondary School
"Hathiagonda, Kanke Road, Ranchi-834008, Jharkhand ,834008",31/03/2021,3430286,pradeephorosg@rediffmail.com,PRADEEP KUMAR HORO,Montfort School,"0651 ,2902491",JHARKHAND,Secondary School
"KONBIR NOATOLI BASIA, GUMLA ,835229",31/03/2023,3430312,brosudhasg@gmail.com,Yeruva Sudhakar,MONTFORT SENIOR SECONDARY SCHOOL,"0653 ,8102907198",JHARKHAND,Secondary School
"panch mandir road, Madhupur, Deogarh, ,815353",31/03/2017,3430260,milansaraf@ymail.com,MILAN SARAF,mothers international academy,"6438 ,220008",JHARKHAND,Senior Secondary
"Sashi Path, Canary road, Hazaribagh ,825301",31/03/2020,3430225,mountegmont89@gmail.com,SHYAMAL KUMAR GUPTA,Mount egmont School,"6546 ,264769",JHARKHAND,Senior Secondary
Vill,31/03/2019,3430287,mohankp48@gmail.com,MOHAN K P,Mount Litera Zee School,"6432 ,222095",JHARKHAND,Senior Secondary
"At.- Katghara, Silwar Distt. - Hazaribagh ,825301",31/03/2018,3430322,anit_ankur@yahoo.co.in,Mr.Babu.P.Thomas,Mount Litera Zee School,",06546-320325",JHARKHAND,Secondary School
"Chandil, PIN - 831012, District Seraikela - Kharsawan, Jharkhand ,831012",31/03/2020,3430314,mlzsjsrprincipal@gmail.com,Kabita Agrawal,Mount Litera Zee School Jamshedpur,"0657 ,8102916675",JHARKHAND,Senior Secondary
"Mount Litera Zee School, Dhanbad, Baukala, Bhuli, Hirak Road, Dhanbad ,818104",31/03/2020,3430347,principal.dhanbad@mountlitera.com,Mr.Rakesh Kumar Bhagat,"Mount Litera Zee School, Dhanbad",",03266550372",JHARKHAND,Middle Class
"MAHARAJGANJ PO DADPUR DISTT HAZARIBAGH JHARKHAND ,825406",31/03/2019,3430181,principalmunam@gmail.com,WAKIL AHMAD,MUNAM PUBLIC SCHOOL,"6546 ,260486",JHARKHAND,Senior Secondary
"52 bigha s.n.bose rd. madhupur deoghar jharkhand ,815353",31/03/2019,3430256,nalandacademy@gmail.com,PURUSHOTTAM MISHRA,nalanda academy,"6438 ,9431908755",JHARKHAND,Secondary School
"Masipirhi, Hazaribagh Distt., Jharkhand ,825301",31/03/2021,3430217,namanvidya@yahoo.com,Priyanka Rajbansh,Naman Vidya,"91 ,9471530010",JHARKHAND,Secondary School
"B I T SINDRI INSTITUTE DISTT DHANBAD JHARKHAND ,828123",31/03/1995,3430045,,MRS. NACHARI,NANDA GOKULAM,",",JHARKHAND,Secondary School
"NEW AREA HAZARIBAGH, ,825301",31/03/2020,3430272,nationalpublicschool786@rediffmail.com,DHIRENDRA KUMAR SINGH,NATIONAL PUBLIC SCHOOL,"0654 ,267193",JHARKHAND,Secondary School
"katia station road, parsabad, jainagar diss. koderma, jharkhand- 825318 ,",31/03/2019,3430338,,THE PRINCIPAL,National Public School,",",JHARKHAND,Secondary School
"Chatra ,825401",31/03/2022,3430303,studu@yahoo.com,SUSANA TUDU,Nazareth School,"6541 ,224620",JHARKHAND,Secondary School
",832106",31/03/2021,3430323,awadesharma@gmail.com,AWADHESH KUMAR SHARMA,NETAJI SUBHAS PUBLIC SCHOOL,"0657 ,3201100",JHARKHAND,Senior Secondary
"POKHARI BHILAI PAHARI PS MGM EAST SINGHBHUM JAMSHEDPUR JHARKHAND ,831012",31/03/2023,3430119,info@nspsjsr.com,S K MITRA,NETAJI SUBHAS PUBLIC SCHOOL,"0657 ,2210167",JHARKHAND,Senior Secondary
"GOSHALA COMPLEX, KANKE ,834006",31/03/2020,3430238,nskanke@yahoo.co.in,SANJAY KUMAR MISHRA,NIRJA SAHAY DAV PUBLIC SCHOOL,"91 ,9204061085",JHARKHAND,Senior Secondary
"G.T. Road, Jealgora, KG Ashram, Govindpur ,828109",31/03/2020,3430366,surinjames25@gmail.com,James Surin,"Nirmala School, Govindpur","0654 ,262490",JHARKHAND,Secondary School
"Bhuyadih, Agrico, ,831009",31/03/2022,3430293,gurmeetkaur2001@yahoo.com,GURMEET KAUR,NML Kerala Public School,"0657 ,2346211",JHARKHAND,Secondary School
"PALKOT ROAD TARRIBARTOTLI ,473331",31/03/2018,3430212,savitasnd@yahoo.com,SISTER MARY SAVITA SND,NOTRE DAME SCHOOL,"6524 ,9431116966",JHARKHAND,Senior Secondary
"p o balkudra, patratu, hazaribagh distt jharkhand ,829143",31/03/2019,3430020,principal.opjs@pat.jspl.com,PRAMOD KUMAR,o p jindal school,"6553 ,275746",JHARKHAND,Senior Secondary
"At/PO - Mander Ranchi ,835214",31/03/2018,3430309,evonekka@gmail.com,EVON E EKKA,OXBRIDGE SCHOOL,"6531 ,224506",JHARKHAND,Secondary School
"old h.b. road ranchi jharkhand ,834001",31/03/2020,3430121,surajsharma12@yahoo.com,SURAJ SHARMA,Oxford public school,"0651 ,6450351",JHARKHAND,Senior Secondary
"VIDYA MANDIR DEV NAGAR P.O. DUGDHA DISTT. BOKARO JHARKHAND- 828404 ,828404",31/03/2019,3430129,svmandir.saraswatividyamandir@gmail.com,RAJENDRA MAHAPATRA,PANDIT BAGESHWARI PANDEY SARASWATI,"6549 ,244078",JHARKHAND,Senior Secondary
"DAV PUBLIC SCHOOL JHUMRI TELAIYA DISTT KODERMA JHARKHAND ,825409",31/03/2022,3430111,metheprincipal@rediffmail.com,OM PRAKASH YADAV,PARMAR VIDYAWATI SURJIT SINGH,"91 ,7482077575",JHARKHAND,Senior Secondary
"GOMIA P O INDIAN EXPLOSIVES (GOMIA) BOKARO DISTT JHARKHAND ,829112",31/03/2019,3430014,manojkrup05@gmail.com,MANOJ KUMAR UPADHYAY,PITTS MODERN SCHOOL,"6544 ,261595",JHARKHAND,Senior Secondary
"AT+PO-JAMTARA(PROF.COLONY)P.S-DUMRI ,825106",31/03/2020,3430357,wasimdumri@gmail.com,SARWAR ALI,"PROGRESSIVE PUBLIC SCHOOL,JAMTARA,DUMRI(GIRIDIH)","6558 ,233531",JHARKHAND,Secondary School
"AT/PO KIRIBURU SINGHBHUM DISTT JHARKHAND ,833222",31/03/2020,3430025,binodprakash3460@gmail.com,BINOD PRAKASH,PROJECT CENTRAL SCHOOL,"0659 ,06596245121",JHARKHAND,Senior Secondary
"sonpurwa at / po garhwa dist garhwa jharkhand ,822114",31/03/2019,3430164,principalrkpsgarhwa@gmail.com,SHALIGRAM PANDEY,r k public school,"6561 ,290492",JHARKHAND,Senior Secondary
"PATRATLOI,BHONDA.,RATU ,834006",31/03/2019,3430324,meerashahdeo48@gmail.com,Ratna Mukherjee,R.B.SPRINGDALE PUBLIC SCHOOL,"0651 ,3294888",JHARKHAND,Secondary School
"Unchari ,822138",31/03/2020,3430364,principalrkpsgarhwa@gmail.com,Mr.S.K.L Das,R.K Public School,",9431136058",JHARKHAND,Secondary School
"Vill-KEDO,P.O.- NARWAPAHAR , P.S.-SUNDERNAGAR, JAMSHEDPUR,JHARKHAND ,PIN- 832111 ,832111",31/03/2017,3430296,chandrika.maity@yahoo.co.in,CHANDRIKA MAITY,R.N. FOUNDATION LITTLE HEART SCHOOL,"0657 ,2318144",JHARKHAND,Secondary School
"BEHIND RAMGARH COLLEGE JARATOLA RAMGARH CANTT DISTT HAZARIBAGH JHARKHAND ,829122",31/03/2019,3430159,tapasipramanik09@gmail.com,TAPASI PRAMANIK,RADHA GOVIND PUBLIC SCHOOL,"6553 ,230542",JHARKHAND,Senior Secondary
"Chira Chas , P.O. - Jamgoraia, P.S. - Chas , B.S.CITY ,827013",31/03/2020,3430308,shankarsharmarps2015@gmail.com,SHANKAR SHARMA,Rainbow Public School,"6542 ,251050",JHARKHAND,Senior Secondary
"ashok nagar dhanbad jharkhand ,828106",31/03/2018,3430048,dnb_rajkamal@yahoo.co.in,RAJESH KUMAR SINGH,raj kamal saraswati vidya mandir,"0326 ,2303099",JHARKHAND,Senior Secondary
"PHED (KH TOLA) BOOTI RANCHI JHARKHAND ,834009",31/03/2022,3430140,surjeet_singh97@hotmail.com,SURJEET SINGH,RAM TAHAL CHOUDHARY HIGH SCHOOL,"0651 ,6571697",JHARKHAND,Senior Secondary
"H F C SIDHGORA JAMSHEDPUR JHARKHAND ,831009",03/03/1997,3430043,dnp@fcis.bih.nic.in,SH P C BHATTACHARYA,RAMA KRISHNA MISSION SCHOOL,"0629 ,21875",JHARKHAND,Secondary School
"P O VIDYAPEETH RAMAKRISHNA NAGAR DEOGHAR (S P) JHARKHAND ,814112",31/03/2018,3430001,divyasudhananda@gmail.com,SWAMI DIVYASUDHANANDA,RAMAKRISHNA MISSION VIDYAPITH,"6432 ,222413",JHARKHAND,Senior Secondary
"near bazar samiti gola road, ramgarh cantt, dist - hazaribag jharkhand - 829122 ,829122",31/03/2022,3430226,rpcsvm@gmail.com,MAHENDRA KUMAR SINGH,ramprasad chandrabhan saraswati shishu vidya mandir,"6553 ,222021",JHARKHAND,Senior Secondary
"CASTAIRS TOWN B DEOGHAR JHARKHAND ,814112",31/03/2021,3430163,principal.redrose.school.deo@gmail.com,RAMSEVAK SINGH,RED ROSE SCHOOL,"0 ,9430385464",JHARKHAND,Senior Secondary
"RMS High School, Khutadih, PO Sonari ,831011",31/03/2020,3430345,shuklaparineeta@yahoo.in,PARINEETA SHUKLA,"RMS High School, Khutadih","0657 ,2308951",JHARKHAND,Secondary School
"anand shankar chainpur po palamu jharkhand ,822101",31/03/2021,3430147,rotaryschool3250@rediffmail.com,SMITA MEGUMI MINZ,rotary school,"6586 ,251671",JHARKHAND,Senior Secondary
"phusro ,829144",31/03/2019,3430341,rdpsphusro@gmail.com,Geeta Bharti,Rukmini Devi Public School,"6549 ,222534",JHARKHAND,Secondary School
"DISPENDARY ROAD SIDHGORA PO AGRICO JAMSHEDPUR ,831009",31/03/2022,3430149,moushumidas2009@gmail.com,MOUSHUMI DAS,S D S M SCHOOL FOR EXCELLENCE,"0657 ,2211825",JHARKHAND,Senior Secondary
"TATA NAGAR, AT BAGBERA, DISTT EAST SINGHBHUM, JHARKHAND ,831002",31/03/2016,3480007,narsinghpradhan2011@gmail.com,NARSINGH PRADHAN,S E RLY MIXED HIGH SCHOOL,"0657 ,2292672",JHARKHAND,Secondary School
"BIRSA NAGAR (KHAKRIPARA), EAST SINGHBHUM, JHARKHAND-831009 ,831009",31/03/2020,3430361,bijayshankar.ks@gmail.com,Mr.DHIRENDRA KUMAR DHIRAJ,S.D. PUBLIC SCHOOL,",06572282783",JHARKHAND,Secondary School
"PUNDAG PO-PUNDAG,RANCHI-4 ,834004",31/03/2021,3430254,tnp2321@gmail.com,TANUJA PANIGRAHI,"S.R.DAV PUBLIC SCHOOL,","0651 ,6570647",JHARKHAND,Senior Secondary
"108, Kusai, Doranda ,834002",31/03/2022,3430228,sachidanandgyanbharti@gmail.com,MONIKA SHRIVASTAVA,Sachidanand Gyan Bharti Model School,"0651 ,9334714607",JHARKHAND,Secondary School
"sankat mochan mandir ,825409",31/03/2022,3430224,shaileshkumar201@rediffmail.com,SHAILESH KUMAR,Sacred Heart School,"6534 ,224394",JHARKHAND,Secondary School
"P.O. - DUMKA(H.P.O.) ,814101",31/03/2019,3430327,principalshsdumka@gmail.com,SHANTA KERKETTA,SACRED HEART SCHOOL,"6434 ,236191",JHARKHAND,Secondary School
"P.O. TILAIYA DAM KODERMA HAZARIBAGH DISTT JHARKHAND ,825413",31/03/2018,3480001,,CAPTAIN K L ARORA,SAINIK SCHOOL,"011 ,2557",JHARKHAND,Senior Secondary
"SHAILESH SAH, FRIENDS COLONY, PUGMIL ROAD, HAZARIBAG,JHARKNAND ,825301",31/03/2020,3430250,augustineschoolhzb@gmail.com,SHAILESH PETER A SAH,Saint Augustine High School,"6546 ,263381",JHARKHAND,Senior Secondary
"DAK BANGLOW ROAD PO GHATSHILA DISTT EAST SINGHBHUM JHARKHAND ,832303",31/03/2018,3430151,snsvmschool@gmail.com,SANJAY KUMAR MALLICK,SANT NAND LAL SAMRITI VIDYA MANDIR,"6585 ,225534",JHARKHAND,Senior Secondary
"12th mile stone, ranchi - khunti highway, hardag, ,835321",31/03/2019,3430259,ddas.principal@gmail.com,DHRUBA DAS,sapphire international school,"9 ,9334833670",JHARKHAND,Senior Secondary
"RANCHI-PURULIA HIGHWAY, VILL- ARRA, P.O- MAHILONG, DISTT RANCHI, JHARKHAND ,835103",31/03/2022,3430269,pamkaur2006@yahoo.com,Paramjit Kaur,SARALA BIRLA PUBLIC SCHOOL (A UNIT OF BHARAT AROGYA & GYAN MANDIR),"0651 ,6452850",JHARKHAND,Senior Secondary
"SHYAMDIH KATRAS BAZAR DISTT.DHANBAD JHARKHAND ,828114",31/03/2020,3430104,singhsachitanand@gmail.com,SACHITA NAND SINGH,SARASWATI SHISHU MANDIR,"0326 ,2372669",JHARKHAND,Senior Secondary
"DAKRA PO DAKRA DISTT RANCHI JHARKHAND ,829210",31/03/2021,3430182,bolaipandit123@gmail.com,BOLAI PANDIT,SARASWATI SHISHU MANDIR,"6531 ,235199",JHARKHAND,Senior Secondary
"BARGANDA PO GIRIDH DISTT GIRIDH JHARKHAND ,815301",31/03/2018,3430166,MMMISHRA321@GMAIL.COM,MADAN MOHAN MISHRA,SARASWATI SHISHU VIDYA MANDIR,"6532 ,225465",JHARKHAND,Senior Secondary
"bhavqnathpur nagri garhwa jharkhand ,822129",31/03/2020,3430207,ransumanbnpts@gmail.com,Ran Suman Singh,saraswati shishu vidya mandir,"6561 ,9973688858",JHARKHAND,Secondary School
"KUMHAR TOLI PARNALA HAZARIBAGH JHARKHAND ,825301",31/03/2020,3430188,umeshprasad035@gmail.com,UMESH PRASAD,SARASWATI SHISHU VIDYA MANDIR,"6546 ,251059",JHARKHAND,Senior Secondary
"9-D SEC IX B ROAD NEAR POST OFFICE BOKARO STEEL CITY JHARKHAND ,827009",31/03/2022,3430190,jraghavkumar@gmail.com,RAGHAV KUMAR JHA,SARASWATI SHISHU VIDYA MANDIR,"6542 ,262770",JHARKHAND,Senior Secondary
"baghmara po navagarh distt dhanbad jharkhand ,828306",31/03/2019,3430161,rrsharmaprincipalsvm@gmail.com,RAJA RAM SHARMA,saraswati shishu vidya mandir,"0326 ,2428360",JHARKHAND,Senior Secondary
"distt kundaria p.o. sarubera distt hazaribagh jharkhand ,829134",31/03/2019,3430116,sksingh.ssvm@gmail.com,SUDHIR KUMAR SINGH,saraswati shishu vidya mandir,"6553 ,210090",JHARKHAND,Secondary School
"P O DHURWA RANCHI JHARKHAND ,834004",31/03/2015,3430123,surendrakumarsingh07@gmail.com,SURENDRA KUMAR SINGH,SARASWATI SHISHU VIDYA MANDIR,"0651 ,2445201",JHARKHAND,Senior Secondary
"SINIDHIH GOVINDPUR AREA PO TUNDOO DISTT DHANBAD JHARKHAND ,828128",31/03/2018,3430150,sksinhasvm@gmail.com,SANJEEV KUMAR SINHA,SARASWATI VIDYA MANDIR,"0326 ,2392102",JHARKHAND,Senior Secondary
"BHULI PO SHRAMIK NAGAR DHANBAD JHARKHAND ,828105",31/03/2022,3430144,harinarayans045@gmail.com,HARI NARAYAN SHARMA,SARASWATI VIDYA MANDIR,"0326 ,2341620",JHARKHAND,Senior Secondary
"SECTOR III-C BOKARO STEEL CITY BOKARO DHANBAD JHARKHAND ,827001",31/03/2020,3430022,mrityunjoysahay9876@gmail.com,MRITYUNJOY SAHAY,SARASWATI VIDYA MANDIR,"6542 ,247579",JHARKHAND,Senior Secondary
"SINDRI DISTT DHANBAD JHARKHAND ,828122",31/03/2019,3430047,shivbalakprasad@gmail.com,shio balak prasad,SARASWATI VIDYA MANDIR,"0326 ,2245740",JHARKHAND,Senior Secondary
"AT SIRKA G M OFFICE POST ARGADA DISTT. HAZARIBAGH JHARKHAND ,829101",31/03/2019,3430070,svmsirka08137@gmail.com,SUNIL KUMAR SINGH,SARASWATI VIDYA MANDIR,"6553 ,8986868692",JHARKHAND,Senior Secondary
"KARKATTA PARIYRJNA PO KHALARI DISTT RANCHI JHARKHAND ,829205",31/03/2022,3430169,shaligrambhardwajs4@gmail.com,SHALIGRAM SINGH,SARASWATI VIDYA MANDIR,"6531 ,246568",JHARKHAND,Senior Secondary
"RAPAPPA PROJECT PO RAJRAPPA DISTT HAZARIBAGH JHARKHAND ,829150",31/03/2018,3430179,sanjivv1966@gmail.com,SANJIV KUMAR,SARASWATI VIDYA MANDIR,"6553 ,251072",JHARKHAND,Senior Secondary
"GUMLA DSP ROAD DISTT GUMLA JHARKHAND ,835207",31/03/2019,3430122,suneelmedininagar@gmail.com,Suneel Kumar Pathak,SARASWATI VIDYA MANDIR HIGH SCHOOL.,"0652 ,4223683",JHARKHAND,Senior Secondary
"SEC-IX A B. ROAD BOKARO STEEL CITY JHARKHAND ,827009",31/03/2020,3430138,amar.hcr@gmail.com,AMAR PRASAD,SARDAR PATEL PUBLIC SCHOOL,"6542 ,261369",JHARKHAND,Senior Secondary
"PATRATU THERMAL POWER STATION, HAZARIBAGH, JHARKHAND ,829119",31/03/2021,3430234,skchoudhary.svm@gmail.com,Shiv Kumar Choudhary,SARSWATI SHISHU VIDYA MANDIR,"91 ,9631209881",JHARKHAND,Senior Secondary
"P.O.-KUJU,DATMA MORE(USHA TOWER) DIST- RAMGARH (JHARKHAND) ,825316",31/03/2019,3430227,sarvodayniketan@gmail.com,SURYANATH YADAV,SARVODAY NIKETAN,"0091 ,6545282619",JHARKHAND,Senior Secondary
"at/post-jamtara ,815351",31/03/2022,3430230,davjamtaraprincipal@gmail.com,GOLAM NABI KHAN,savitri devi d.a.v. public school,"6433 ,223037",JHARKHAND,Senior Secondary
"TALDANGA HOUSING PO SARISA PAHARI VIA CHIRKUNDA DISTT DHANBAD JHARKHAND ,828202",31/03/2020,3430174,sanjiv.svs@gmail.com,SANJIV KUMAR SHAW,SCHOOL OF COMPETITION,"6540 ,272142",JHARKHAND,Senior Secondary
"PRINCIPAL LALGARH MADHUPUR JHARKHAND ,815353",31/03/2019,3430343,shalomschool@live.com,Pintu Kumar,SHALOM SCHOOL,"0 ,9934379273",JHARKHAND,Secondary School
"BUKRU,KANKE ,834006",31/03/2020,3430353,RANJANA.SWARUP@GMAIL.COM,RANJANA SWARUP,SHARDA GLOBAL SCHOOL,"91 ,7541820401",JHARKHAND,Secondary School
